id,archetype,count,percentage,match_count,match_winrate,match_ci,game_count,game_winrate,game_ci
631,Burn,42,10.10%,160,45.62%,±7.72%,407,46.88%,±4.84%
23171,Grixis Affinity,35,8.41%,134,55.97%,±8.41%,337,55.41%,±5.31%
26407,Blue Terror,31,7.45%,140,52.14%,±8.27%,349,51.13%,±5.21%
18445,Mono-Blue Faeries,24,5.77%,113,54.87%,±9.18%,284,54.57%,±5.80%
25457,Madness Burn,23,5.53%,89,47.19%,±10.37%,228,50.94%,±6.49%
642,Bogles,21,5.05%,75,38.67%,±11.02%,186,42.44%,±7.10%
18427,Ephemerate Tron,16,3.85%,70,57.14%,±11.59%,177,52.86%,±7.35%
26405,Dredge,16,3.85%,68,52.94%,±11.86%,171,50.49%,±7.49%
26400,Jund Broodscale Combo,13,3.13%,50,56.00%,±13.76%,125,56.17%,±8.65%
22140,Mono-White Aggro,11,2.64%,44,43.18%,±14.64%,109,48.48%,±9.38%
25458,Gruul Ramp,11,2.64%,42,50.00%,±15.12%,107,51.39%,±9.43%
27189,Jund Wildfire,11,2.64%,42,50.00%,±15.12%,107,49.21%,±9.47%
647,Elves,10,2.40%,41,46.34%,±15.26%,107,51.22%,±9.48%
20698,Turbo Fog,9,2.16%,40,55.00%,±15.42%,99,56.46%,±9.75%
27491,High Tide Combo,9,2.16%,38,47.37%,±15.88%,94,48.03%,±10.05%
20710,Boros Synthesizer,8,1.92%,42,66.67%,±14.26%,102,60.32%,±9.52%
26401,Golgari Broodscale Combo,8,1.92%,36,50.00%,±16.33%,93,47.22%,±10.16%
20712,Gruul Ponza,8,1.92%,28,42.86%,±18.33%,68,45.24%,±11.84%
18441,Dimir Control,7,1.68%,28,46.43%,±18.47%,64,47.32%,±12.14%
641,Walls Combo,7,1.68%,26,46.15%,±19.16%,65,42.31%,±12.10%
18446,Dimir Faeries,6,1.44%,25,48.00%,±19.58%,62,45.33%,±12.43%
18447,Jeskai Ephemerate,6,1.44%,18,44.44%,±22.96%,46,44.44%,±14.40%
18429,Familiars,5,1.20%,22,50.00%,±20.89%,56,46.97%,±13.09%
18434,Mono-Blue,5,1.20%,17,64.71%,±22.72%,42,52.94%,±15.06%
627,Tron,4,0.96%,19,47.37%,±22.45%,51,49.12%,±13.72%
20711,Mono-Red Synthesizer,4,0.96%,16,50.00%,±24.50%,36,50.00%,±16.33%
18430,Goblins,4,0.96%,12,33.33%,±26.67%,31,52.78%,±17.66%
18424,Cycle Storm,3,0.72%,14,50.00%,±26.19%,36,50.00%,±16.33%
20699,Caw-Gates,2,0.48%,11,45.45%,±29.43%,29,48.48%,±18.19%
23828,Rakdos Affinity,2,0.48%,10,60.00%,±30.36%,24,53.33%,±19.94%
18444,Izzet Faeries,2,0.48%,9,66.67%,±30.80%,24,59.26%,±19.73%
27400,Black Sacrifice,2,0.48%,8,37.50%,±33.55%,21,41.67%,±21.17%
